Database???Annual by Province
Indicators£ºGross Regional Product(100 million yuan)
Year£º1993-2023
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
Beijing,43760.7,41540.9,41045.6,35943.3,35445.1,33106.0,29883.0,27041.2,24779.1,22926.0,21134.6,19024.7,17188.8,14964.0,12900.9,11813.1,10425.5,8387.0,7149.8,6252.5,5267.2,4525.7,3861.5,3277.8,2759.8,2439.1,2118.1,1819.4,1516.2,1149.8,888.9
Tianjin,16737.3,16132.2,15685.1,14008.0,14055.5,13362.9,12450.6,11477.2,10879.5,10640.6,9945.4,9043.0,8112.5,6830.8,5709.6,5182.4,4158.4,3538.2,3158.6,2621.1,2257.8,1926.9,1756.9,1591.7,1435.6,1344.7,1264.6,1121.9,932.0,732.9,538.9
Hebei,43944.1,41988.0,40397.1,36013.8,34978.6,32494.6,30640.8,28474.1,26398.4,25208.9,24259.6,23077.5,21384.7,18003.6,15306.9,14200.1,12152.9,10043.0,8773.4,7588.6,6333.6,5518.9,5062.9,4628.2,4158.9,3924.5,3652.1,3198.0,2701.2,2114.5,1620.8
Shanxi,25698.2,25583.9,22870.4,17835.6,16961.6,15958.1,14484.3,11946.4,11836.4,12094.7,11987.2,11683.1,10894.4,8903.9,7147.6,7223.0,5935.6,4713.6,4079.4,3496.0,2854.3,2324.8,2029.5,1845.7,1667.1,1611.1,1476.0,1292.1,1076.0,826.7,680.4
Inner Mongolia,24627.0,23388.9,21166.0,17258.0,17212.5,16140.8,14898.1,13789.3,12949.0,12158.2,11392.4,10470.1,9458.1,8199.9,7104.2,6242.4,5166.9,4161.8,3523.7,2942.4,2388.4,1940.9,1713.8,1539.1,1379.3,1262.5,1153.5,1023.1,857.1,695.1,537.8
Liaoning,30209.4,28826.1,27569.5,25011.4,24855.3,23510.5,21693.0,20392.5,20210.3,20025.7,19208.8,17848.6,16354.9,13896.3,12815.7,12137.7,10292.2,8390.3,7260.8,6469.8,5906.3,5458.2,5033.1,4669.1,4171.7,3881.7,3582.5,3157.7,2793.4,2461.8,2010.8
Jilin,13531.2,12818.1,13163.8,12256.0,11726.8,11253.8,10922.0,10427.0,10018.0,9966.5,9427.9,8678.0,7734.6,6410.5,5434.8,4834.7,4080.3,3226.5,2776.5,2455.2,2141.0,2043.1,1900.9,1751.4,1673.0,1577.1,1464.3,1346.8,1137.2,937.7,718.6
Heilongjiang,15883.9,15831.5,14858.2,13633.4,13544.4,12846.5,12313.0,11895.0,11690.0,12170.8,11849.1,11015.8,9935.0,8308.3,7218.9,7134.2,6126.3,5329.8,4756.4,4134.7,3609.7,3242.7,3043.4,2855.5,2536.9,2470.2,2397.6,2137.6,1790.2,1448.1,1075.3
Shanghai,47218.7,44809.1,43653.2,38963.3,37987.6,36011.8,32925.0,29887.0,26887.0,25269.8,23204.1,21305.6,20009.7,17915.4,15742.4,14536.9,12878.7,10598.9,9197.1,8101.6,6804.0,5795.0,5257.7,4812.2,4222.3,3831.0,3465.3,2980.8,2518.1,1990.9,1519.2
Jiangsu,128222.2,122089.3,117392.4,102807.7,98656.8,93207.6,85869.8,77350.9,71255.9,64830.5,59349.4,53701.9,48839.2,41383.9,34471.7,30945.5,25988.4,21240.8,18121.3,14823.1,12442.9,10606.9,9456.8,8553.7,7697.8,7200.0,6680.3,6004.2,5155.3,4057.4,2998.2
Zhejiang,82553.2,78060.6,74040.8,64689.1,62462.0,58002.8,52403.1,47254.0,43507.7,40023.5,37334.6,34382.4,31854.8,27399.9,22833.7,21284.6,18640.0,15302.7,13028.3,11482.1,9753.4,8040.7,6927.7,6164.8,5461.3,5065.5,4695.9,4195.8,3563.9,2689.3,1925.9
Anhui,47050.6,44607.7,42565.2,38061.5,36845.5,34010.9,29676.2,26307.7,23831.2,22519.7,20584.0,18341.7,16284.9,13249.8,10864.7,9517.7,7941.6,6500.3,5675.9,5129.1,4307.8,3827.7,3502.8,3125.3,2907.8,2711.7,2485.4,2199.7,1891.2,1378.9,1073.5
Fujian,54355.1,51765.1,49566.1,43608.6,42326.6,38687.8,33842.4,29609.4,26819.5,24942.1,22503.8,20190.7,17917.7,15002.5,12418.1,10931.8,9325.6,7468.6,6415.5,5712.1,4999.6,4467.6,4072.9,3764.5,3414.2,3159.9,2870.9,2484.3,2094.9,1644.4,1114.2
Jiangxi,32200.1,31213.8,29827.8,25782.0,24667.3,22716.5,20210.8,18388.6,16780.9,15667.8,14300.2,12807.7,11584.5,9383.2,7630.0,6934.2,5777.6,4696.8,3941.2,3398.1,2812.7,2450.5,2175.7,2003.1,1853.7,1719.9,1605.8,1409.7,1169.7,948.2,723.0
Shandong,92068.7,87576.9,82875.2,72798.2,70540.5,66648.9,63012.1,58762.5,55288.8,50774.8,47344.3,42957.3,39064.9,33922.5,29540.8,27106.2,22718.1,18967.8,15947.5,13308.1,10903.2,10076.5,9076.2,8278.1,7493.8,7021.4,6537.1,5883.8,4953.4,3844.5,2770.4
Henan,59132.4,58220.1,58071.4,54259.4,53717.8,49935.9,44824.9,40249.3,37084.1,34574.8,31632.5,28961.9,26318.7,22655.0,19181.0,17735.9,14824.5,11977.9,10243.5,8411.2,6942.4,6035.5,5533.0,5053.0,4517.9,4308.2,4041.1,3634.7,2988.4,2216.8,1660.2
Hubei,55803.6,52741.7,50091.2,43004.5,45429.0,42022.0,37235.0,33353.0,30344.0,28242.1,25378.0,22590.9,19942.5,16226.9,13192.1,11497.5,9451.4,7531.8,6469.7,5546.8,4757.5,4212.8,3880.5,3545.4,3229.3,3114.0,2856.5,2499.8,2109.4,1700.9,1325.8
Hunan,50012.9,47558.6,45713.5,41542.6,39894.1,36329.7,33828.1,30853.5,28538.6,25881.3,23545.2,21207.2,18915.0,15574.3,12772.8,11307.4,9285.5,7431.6,6369.9,5542.6,4660.0,4151.5,3831.9,3551.5,3214.5,3025.5,2849.3,2540.1,2132.1,1650.0,1244.7
Guangdong,135673.2,129513.6,124719.5,111151.6,107986.9,99945.2,91648.7,82163.2,74732.4,68173.0,62503.4,57007.7,53072.8,45944.6,39464.7,36704.2,31742.6,25961.2,21963.0,18658.3,15979.8,13601.9,12126.6,10810.2,9289.6,8555.3,7793.0,6848.2,5940.3,4619.0,3469.3
Guangxi,27202.4,26186.1,25209.1,22120.9,21237.1,19627.8,17790.7,16116.6,14797.8,13587.8,12448.4,11303.6,10299.9,8552.4,7112.9,6455.4,5474.8,4417.8,3742.1,3305.1,2798.2,2523.7,2279.3,2080.0,1971.4,1911.3,1817.3,1697.9,1497.6,1198.3,871.7
Hainan,7551.2,6889.6,6504.1,5566.2,5330.8,4910.7,4497.5,4090.2,3734.2,3449.0,3115.9,2789.4,2463.8,2020.5,1620.3,1474.7,1234.0,1027.5,884.9,802.7,714.0,642.7,579.2,526.8,476.7,442.1,411.2,389.7,363.3,332.0,260.4
Chongqing,30145.8,28576.1,28077.3,25041.4,23605.8,21588.8,20066.3,18023.0,16040.5,14623.8,13027.6,11595.4,10161.2,8065.3,6651.2,5899.5,4770.7,3900.3,3448.4,3059.5,2615.6,2279.8,2014.6,1822.1,1687.8,1622.4,1525.3,1326.4,1130.6,838.1,611.1
Sichuan,60132.9,56610.2,54088.0,48501.6,46363.8,42902.1,37905.1,33138.5,30342.0,28891.3,26518.0,23922.4,21050.9,17224.8,14190.6,12756.2,10562.1,8494.7,7195.9,6304.0,5346.2,4725.0,4293.5,3928.2,3649.1,3474.1,3241.5,2871.7,2443.2,2001.4,1486.1
Guizhou,20913.3,20010.4,19458.6,17860.4,16769.3,15353.2,13605.4,11792.4,10541.0,9173.1,7973.1,6742.2,5615.6,4519.0,3856.7,3504.5,2847.5,2264.1,1939.9,1649.4,1429.0,1243.4,1133.3,1029.9,937.5,858.4,805.8,723.2,636.2,524.5,417.7
