数据库：分省年度数据
指标：固定资产投资(不含农户)实际到位资金_比上年增长(%)
时间：1993-2023
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年
北京市,4.0,-7.1,11.2,3.4,-3.2,-15.5,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,3.3,-22.1,3.2,-5.1,13.4,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,-2.9,4.1,-2.4,-1.1,5.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,-9.6,4.4,8.8,15.6,16.9,13.1,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,20.4,16.2,7.2,5.6,10.4,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,6.1,-5.0,-5.7,5.4,-2.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,-7.4,-5.3,1.7,9.5,-13.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,-12.6,0.5,-1.5,1.3,4.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1.6,-1.8,10.7,1.8,5.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,-0.2,-5.7,6.2,22.7,6.9,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,-6.1,-4.8,7.7,20.7,7.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,-1.5,2.9,10.6,6.4,6.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,-5.5,2.8,6.6,4.8,7.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,-10.8,11.0,6.7,15.9,-0.4,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,-1.2,1.0,4.3,5.8,-8.4,10.8,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,-3.7,5.1,5.4,6.5,8.7,12.7,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,0.5,11.2,-0.6,-16.6,7.1,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,-3.3,11.0,10.4,30.9,2.7,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,4.6,-11.5,9.3,14.8,10.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,-14.5,-1.8,3.7,5.1,8.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,7.4,-17.0,10.7,20.1,-17.9,-24.3,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,-1.1,-9.9,6.0,2.7,-1.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,3.9,10.3,2.9,-0.1,10.0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,-21.4,-1.8,-3.8,1.1,-7.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,-11.5,11.7,-9.5,5.3,18.2,14.9,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,-3.8,-2.0,8.6,-14.9,-11.4,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,1.3,4.5,-4.9,-0.5,1.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,4.9,14.1,8.5,13.2,8.7,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,-0.6,-6.3,-7.4,-10.9,10.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,10.0,4.2,2.7,19.8,-2.8,-16.3,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,15.1,10.3,11.3,20.6,8.0,-20.7,,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
