数据库：分省年度数据
指标：第二产业增加值(亿元)
时间：1993-2023
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年
北京市,6525.6,6635.6,7389.0,5739.1,5667.4,5477.4,5049.4,4665.8,4419.8,4433.0,4168.3,3856.0,3563.3,3233.1,2736.4,2526.7,2413.4,2072.1,1907.4,1773.7,1456.4,1235.1,1127.2,1023.7,900.0,834.1,774.8,709.2,638.3,512.7,416.3
天津市,5982.6,5982.3,5672.7,4911.8,4947.2,4835.3,4564.1,4368.0,4489.6,4615.5,4407.1,4134.0,3756.3,3259.7,2808.7,2659.7,2123.6,1834.5,1630.5,1348.3,1137.6,931.5,858.8,794.8,717.9,689.2,676.0,609.1,518.6,415.0,308.4
河北省,16435.3,16129.6,16355.8,13765.1,13393.7,12904.1,12778.0,12332.3,11519.5,11476.9,11178.4,10919.7,10275.5,8470.5,7164.4,6981.5,5849.5,4771.9,4123.9,3467.9,2922.7,2467.7,2293.5,2146.7,1875.1,1791.0,1667.2,1439.5,1198.1,983.1,777.9
山西省,13329.7,13848.5,11578.1,7703.2,7466.3,7074.5,6635.3,5113.6,5219.7,6378.0,6684.3,6852.7,6750.2,5349.6,4091.2,4389.0,3602.3,2799.3,2389.5,1931.6,1520.7,1134.3,956.0,858.4,785.5,761.3,707.6,600.2,494.5,396.6,335.0
内蒙古自治区,11703.6,11352.5,9880.6,6908.2,6763.1,6335.4,5874.3,5579.8,5269.5,5114.4,4870.1,4553.6,4044.0,3420.5,2916.0,2555.1,2122.7,1722.4,1377.8,1041.2,840.9,754.8,655.7,582.6,510.5,458.9,422.4,364.8,308.8,254.5,203.5
辽宁省,11734.5,11363.6,10883.3,9357.5,9475.9,9049.0,8328.9,7865.7,8344.6,9038.8,9204.2,8886.9,8478.7,7181.8,6539.3,6273.1,5060.2,4060.7,3443.9,2957.8,2841.0,2599.7,2431.5,2336.1,1994.7,1849.2,1738.3,1532.9,1385.8,1255.2,1036.3
吉林省,4585.0,4370.2,4768.3,4319.9,4134.8,4051.5,3995.5,3901.4,3837.8,3804.9,3572.1,3315.2,2931.4,2485.8,2055.1,1788.0,1477.7,1097.2,1002.4,903.4,805.7,793.5,747.5,675.7,654.5,585.7,567.0,537.1,475.2,396.9,351.0
黑龙江省,4291.3,4576.7,4086.5,3449.9,3640.1,3536.0,3519.5,3689.7,3926.9,4872.4,5202.7,5099.8,4916.3,4146.1,3668.1,3935.0,3383.0,2998.0,2656.4,2270.3,1956.4,1728.3,1665.9,1633.4,1466.6,1396.1,1357.2,1205.4,992.5,803.6,613.1
上海市,11613.0,11407.2,11366.7,10258.6,10193.6,10360.8,9525.9,8570.2,8408.7,8633.3,8286.5,8174.1,8169.3,7434.9,6184.8,6215.5,5677.5,4929.2,4314.9,3872.2,3239.6,2635.3,2413.8,2215.8,1990.1,1876.1,1776.8,1598.7,1419.9,1139.9,895.6
江苏省,56909.7,54886.1,52678.7,44631.3,43507.5,42129.4,39124.1,35041.5,33371.8,31048.8,29149.4,27150.8,25231.2,21853.6,18667.2,17051.1,14497.4,11991.1,10234.1,8325.8,6787.1,5604.5,4907.5,4435.9,3920.2,3640.1,3411.9,3074.1,2715.3,2186.8,1598.1
