数据库：分省年度数据
指标：第三产业增加值(亿元)
时间：1993-2023
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年
北京市,37129.6,34793.7,33545.2,30095.9,29663.4,27508.1,24711.7,22245.7,20218.9,18333.9,16806.5,15020.3,13491.0,11608.1,10047.7,9175.1,7912.8,6227.7,5155.5,4393.4,3726.7,3208.2,2653.6,2174.9,1781.5,1527.1,1266.2,1035.2,805.7,570.3,419.4
天津市,10486.2,9876.7,9746.5,8885.9,8922.9,8352.3,7717.5,6940.8,6227.6,5866.3,5383.6,4761.1,4215.2,3439.3,2781.3,2406.1,1927.3,1600.3,1415.7,1167.5,1030.3,911.2,819.4,723.2,646.6,581.3,519.1,445.2,352.6,271.4,195.1
河北省,23042.6,21449.8,20010.9,18368.4,18066.4,16252.0,14732.8,13059.3,11778.4,10567.3,9939.3,9243.8,8406.4,7060.0,6020.7,5261.8,4566.4,3869.3,3304.2,2787.1,2346.8,2094.2,1855.4,1656.8,1477.8,1342.8,1223.0,1057.4,871.7,679.5,541.2
山西省,10979.6,10400.0,10005.4,8965.8,8670.0,8142.9,7129.8,6108.5,5890.5,4980.1,4605.3,4188.4,3557.7,3043.9,2613.0,2460.5,2029.8,1657.9,1442.1,1301.5,1118.3,992.7,902.4,807.5,721.7,642.6,576.6,493.6,412.9,306.3,248.1
内蒙古自治区,10186.1,9381.3,8931.5,8321.1,8586.1,8054.7,7374.0,6558.9,6049.2,5405.8,4939.4,4463.3,4104.4,3681.6,3253.4,2784.4,2281.7,1804.5,1556.3,1378.4,1127.4,811.5,699.2,605.7,525.9,462.1,408.6,345.5,288.1,232.0,184.4
辽宁省,15823.9,14864.5,14224.2,13369.1,13201.4,12441.0,11461.8,10685.6,9811.9,8984.9,8031.2,7092.4,6182.9,5245.5,4979.1,4648.9,4154.7,3421.1,2962.5,2737.6,2467.3,2284.4,2070.9,1841.2,1667.4,1511.6,1378.5,1158.6,1021.4,892.1,717.2
吉林省,7301.4,6758.7,6841.7,6383.1,6304.7,6041.6,5831.2,5395.5,4909.6,4891.5,4605.5,4167.2,3697.4,2996.3,2491.1,2183.2,1847.5,1489.1,1155.5,989.5,848.6,808.0,748.0,680.3,598.0,564.7,532.0,436.2,360.2,283.0,212.6
黑龙江省,8074.3,7619.4,7308.3,6738.5,6721.1,6309.3,5828.2,5454.0,5050.9,4607.4,4106.9,3796.5,3323.2,2870.4,2409.0,2125.4,1850.9,1599.9,1425.4,1283.5,1160.3,1050.2,951.0,846.5,701.1,654.2,589.9,497.3,434.2,345.7,268.0
上海市,35509.6,33302.0,32190.4,28597.1,27686.9,25546.3,23288.3,21202.4,18352.8,16504.5,14786.0,13002.1,11713.9,10366.1,9445.3,8212.1,7101.8,5578.2,4794.2,4148.0,3485.4,3082.1,2767.8,2521.6,2159.6,1882.9,1618.2,1315.0,1039.8,804.6,586.8
江苏省,66236.7,62239.0,59992.7,53638.9,50852.1,46936.5,42700.5,38269.6,33931.7,30174.3,26752.5,23309.8,20699.2,17121.0,13660.9,11906.2,9775.4,7781.4,6497.1,5197.0,4493.3,3891.9,3454.9,3069.5,2740.3,2512.7,2232.7,1940.9,1573.8,1186.6,909.5
浙江省,46268.6,42901.6,40655.1,36161.3,34075.8,30718.8,27222.5,23792.4,21129.8,18716.2,17453.1,15731.1,14048.6,11936.1,9816.7,8698.6,7547.9,6093.9,5193.2,4517.9,3909.3,3242.6,2677.9,2246.7,1871.7,1683.9,1519.2,1366.9,1157.6,855.0,627.8
安徽省,24682.2,23144.4,21961.1,19660.1,18959.5,17278.5,14412.7,12300.5,10616.8,9242.1,8177.4,7075.2,6227.8,5253.2,4563.4,4010.1,3453.5,2836.1,2512.0,2332.4,2000.8,1696.7,1483.8,1321.3,1183.6,1041.8,920.0,790.3,647.5,499.3,345.0
福建省,27171.0,25562.2,23346.3,20709.3,19665.6,17461.0,15337.3,12780.6,11150.9,9921.2,8953.2,8034.8,7109.0,6027.4,5180.2,4448.7,3852.6,3010.1,2527.0,2210.5,1987.9,1778.9,1652.0,1525.8,1378.1,1242.8,1104.1,941.5,766.0,574.8,413.8
江西省,16043.2,15264.4,14263.0,12430.2,11789.3,10758.0,8930.9,7862.0,6698.8,5802.3,5097.7,4475.2,3926.0,3152.5,2685.2,2400.9,1958.7,1584.1,1388.9,1228.4,1056.9,972.7,883.6,817.2,740.4,661.2,581.8,488.4,391.4,295.6,215.0
山东省,49574.6,46718.1,44011.7,38977.2,37251.7,34174.7,31253.8,28367.2,25571.1,22524.0,20274.3,17634.4,15370.3,12778.1,10544.9,9318.5,7737.6,6301.1,5178.2,4232.3,3726.2,3669.7,3269.0,2905.8,2628.5,2397.5,2194.7,1899.5,1587.4,1178.0,818.0
河南省,31597.0,30348.2,28878.2,26684.5,26046.5,23586.2,19745.3,17198.8,15120.7,13446.9,11809.9,10342.2,8947.8,7354.4,6190.8,5446.7,4763.8,3791.9,3197.2,2682.9,2395.1,1946.8,1839.9,1645.6,1459.3,1342.7,1212.7,1057.8,861.8,634.1,502.4
湖北省,30514.7,27965.8,26123.9,22937.6,22896.5,20899.9,17992.2,15419.5,13664.6,12232.6,10648.0,8763.5,7707.1,6435.5,5439.3,4715.2,3991.1,3135.5,2641.0,2264.4,2009.3,1801.4,1619.0,1450.3,1265.1,1140.6,1020.2,862.8,712.0,544.0,443.6
湖南省,26568.8,25057.4,23537.9,21352.7,20845.2,19341.4,17369.9,14995.9,13125.0,11385.2,10042.3,8712.7,7611.4,6466.4,5482.3,4675.6,3854.2,3156.2,2801.4,2384.6,2018.0,1780.8,1593.4,1473.4,1243.3,1074.1,951.7,826.1,676.2,527.4,391.0
广东省,75695.2,71542.7,69179.0,62550.8,60268.1,54710.4,49500.7,43163.5,37628.9,33204.0,30284.0,26950.3,24358.5,20827.6,18079.0,16264.0,14056.6,11308.5,9518.6,8246.8,7222.4,6377.8,5573.1,4781.2,3896.4,3479.8,3100.7,2599.4,2173.9,1676.8,1208.1
广西壮族自治区,13810.1,13096.3,12643.9,11428.1,10801.0,9913.9,8774.1,7695.3,6841.4,6028.8,5448.4,4674.1,4052.3,3447.6,2972.1,2567.2,2185.9,1788.8,1513.1,1343.8,1183.4,1077.0,933.8,791.8,723.1,659.0,622.1,577.2,510.0,395.9,301.3
海南省,4595.3,4163.1,4008.8,3358.0,3168.1,2871.6,2538.4,2261.5,2016.0,1829.3,1641.4,1358.3,1155.9,970.1,739.8,638.5,528.4,425.1,365.2,331.1,293.9,271.0,248.6,230.9,208.0,194.7,179.5,167.0,155.9,142.5,117.5
重庆市,16372.0,15516.1,14938.1,13268.3,12662.2,11367.9,10335.2,9020.7,7764.8,6858.5,6097.7,5407.6,4795.8,3791.7,3053.4,2692.7,2064.0,1647.2,1434.1,1246.6,1118.6,985.9,864.6,767.0,691.9,635.7,559.3,463.6,369.3,262.5,195.4
四川省,32769.5,30053.3,28476.2,25439.2,24368.3,22417.7,19073.5,15787.8,13488.6,12283.9,10841.7,9548.8,8181.9,6556.7,5377.0,4850.8,3987.8,3222.6,2831.5,2535.2,2197.1,1943.7,1739.8,1549.5,1373.5,1237.8,1095.9,945.6,799.8,621.3,456.3
贵州省,10707.5,10095.4,9877.2,9057.5,8517.3,7691.0,6602.3,5461.8,4872.3,4309.3,3802.7,3162.8,2657.1,2095.5,1750.6,1544.2,1229.7,944.0,779.6,647.3,567.4,480.7,425.6,367.7,319.5,274.1,245.0,213.7,176.6,146.1,129.3
云南省,15558.2,14433.9,13793.1,12556.5,12125.7,11114.5,9829.8,8396.1,7389.0,6657.7,5946.5,4998.6,4315.1,3377.3,2919.3,2538.6,2170.4,1712.0,1464.1,1260.8,1079.0,953.2,843.2,751.6,681.1,609.6,545.3,488.2,384.7,318.9,266.3
西藏自治区,1294.7,1176.8,1158.8,1037.5,924.0,837.3,761.2,672.1,607.6,541.3,476.2,408.8,346.1,293.1,255.1,229.8,196.6,162.2,137.7,124.5,98.9,90.6,70.7,55.3,48.8,40.8,31.9,27.2,20.0,17.6,14.1
陕西省,15067.4,14326.0,13692.9,12524.4,12022.6,10896.4,9618.3,8443.2,7634.5,6790.6,6023.9,5215.3,4503.4,3827.0,3228.7,2794.2,2255.2,1858.4,1590.8,1278.8,1063.8,963.6,868.2,763.2,656.6,583.7,540.9,450.9,377.9,302.8,232.5
甘肃省,6141.8,5693.4,5409.5,4966.7,4796.6,4416.4,3961.2,3623.7,3317.8,2999.4,2682.4,2308.9,2002.7,1560.8,1376.6,1250.5,1055.1,900.6,788.1,690.0,589.7,514.8,459.4,437.1,354.4,311.5,265.6,222.4,190.3,151.1,124.9
青海省,1799.2,1653.0,1666.7,1528.6,1485.3,1386.2,1251.0,1169.3,1041.0,917.0,827.6,734.1,664.6,567.4,468.7,443.0,363.2,291.2,246.3,231.2,206.8,182.3,159.3,142.7,126.1,111.6,99.3,86.2,75.0,57.1,44.4
宁夏回族自治区,2399.6,2258.0,2124.4,1989.0,1881.4,1742.7,1543.7,1360.7,1225.8,1143.4,1057.5,949.5,837.0,686.9,553.2,468.2,362.7,284.6,250.3,222.0,195.2,171.1,151.9,127.6,112.7,101.6,91.1,79.1,65.1,50.3,38.0
新疆维吾尔自治区,8673.4,7976.4,7656.6,7032.8,7030.9,6460.1,5511.9,4711.6,4451.2,4028.5,3586.2,2881.9,2391.4,1880.1,1686.1,1503.8,1318.3,1045.1,907.8,844.1,795.8,733.0,656.7,564.2,496.5,443.1,397.2,357.0,308.3,240.2,174.1
数据来源：国家统计局
